job1: (g=0): rw=write, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [W(1)][17.8%][w=860MiB/s][w=6878 IOPS][eta 17m:08s]Jobs: 1 (f=1): [W(1)][17.9%][w=852MiB/s][w=6817 IOPS][eta 17m:07s] 
Jobs: 1 (f=1): [W(1)][18.0%][w=844MiB/s][w=6752 IOPS][eta 17m:05s]Jobs: 1 (f=1): [W(1)][18.1%][w=855MiB/s][w=6836 IOPS][eta 17m:04s] 
Jobs: 1 (f=1): [W(1)][18.2%][w=861MiB/s][w=6887 IOPS][eta 17m:02s]Jobs: 1 (f=1): [W(1)][18.3%][w=841MiB/s][w=6729 IOPS][eta 17m:01s] 
Jobs: 1 (f=1): [W(1)][18.3%][w=857MiB/s][w=6852 IOPS][eta 16m:59s]Jobs: 1 (f=1): [W(1)][18.4%][w=853MiB/s][w=6822 IOPS][eta 16m:58s] 
Jobs: 1 (f=1): [W(1)][18.5%][w=851MiB/s][w=6808 IOPS][eta 16m:56s]Jobs: 1 (f=1): [W(1)][18.6%][w=841MiB/s][w=6724 IOPS][eta 16m:55s] 
Jobs: 1 (f=1): [W(1)][18.7%][w=855MiB/s][w=6843 IOPS][eta 16m:53s]Jobs: 1 (f=1): [W(1)][18.8%][w=857MiB/s][w=6856 IOPS][eta 16m:52s] 
Jobs: 1 (f=1): [W(1)][18.9%][w=851MiB/s][w=6807 IOPS][eta 16m:51s]Jobs: 1 (f=1): [W(1)][19.0%][w=850MiB/s][w=6803 IOPS][eta 16m:49s] 
Jobs: 1 (f=1): [W(1)][19.0%][w=847MiB/s][w=6777 IOPS][eta 16m:48s]Jobs: 1 (f=1): [W(1)][19.1%][w=862MiB/s][w=6897 IOPS][eta 16m:46s] 
Jobs: 1 (f=1): [W(1)][19.2%][w=845MiB/s][w=6757 IOPS][eta 16m:45s]Jobs: 1 (f=1): [W(1)][19.3%][w=851MiB/s][w=6809 IOPS][eta 16m:43s] 
Jobs: 1 (f=1): [W(1)][19.4%][w=857MiB/s][w=6855 IOPS][eta 16m:42s]Jobs: 1 (f=1): [W(1)][19.5%][w=860MiB/s][w=6878 IOPS][eta 16m:40s] 
Jobs: 1 (f=1): [W(1)][19.6%][w=840MiB/s][w=6723 IOPS][eta 16m:39s]Jobs: 1 (f=1): [W(1)][19.6%][w=859MiB/s][w=6872 IOPS][eta 16m:38s] 
Jobs: 1 (f=1): [W(1)][19.7%][w=862MiB/s][w=6896 IOPS][eta 16m:36s]Jobs: 1 (f=1): [W(1)][19.8%][w=845MiB/s][w=6761 IOPS][eta 16m:35s] 
Jobs: 1 (f=1): [W(1)][19.9%][w=848MiB/s][w=6787 IOPS][eta 16m:33s]Jobs: 1 (f=1): [W(1)][20.0%][w=857MiB/s][w=6856 IOPS][eta 16m:32s] 
Jobs: 1 (f=1): [W(1)][20.1%][w=864MiB/s][w=6914 IOPS][eta 16m:30s]Jobs: 1 (f=1): [W(1)][20.2%][w=844MiB/s][w=6750 IOPS][eta 16m:29s] 
Jobs: 1 (f=1): [W(1)][20.3%][w=857MiB/s][w=6852 IOPS][eta 16m:28s]Jobs: 1 (f=1): [W(1)][20.4%][w=861MiB/s][w=6884 IOPS][eta 16m:26s] 
Jobs: 1 (f=1): [W(1)][20.4%][w=855MiB/s][w=6839 IOPS][eta 16m:25s]Jobs: 1 (f=1): [W(1)][20.5%][w=848MiB/s][w=6786 IOPS][eta 16m:23s] 
Jobs: 1 (f=1): [W(1)][20.6%][w=857MiB/s][w=6858 IOPS][eta 16m:22s]Jobs: 1 (f=1): [W(1)][20.7%][w=860MiB/s][w=6878 IOPS][eta 16m:21s] 
